	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064
Pop017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.018	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0
Pop019	0	0	0	0	0	0	0	0	0	0	-0.071	0	0	0	0	0	0	0	0	0	0	0	0.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.118	-0.016	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.583	0
Pop020	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0	0	0	0	0	0	0	0	0.338	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop022	0.061	0	0	0.019	0.017	0	-0.036	0	0	0	0.273	0	0	0	0	0	0	0.1	0	0.338	0	0	0.028	0.008	0.106	0	0	0.052	0.064	0.056	0	0	0.044	0.148	0.086	0	0.055	0.046	0.041	0.06	0.1	-0.024	0	0	0	0.051	0.065	0.071	0.031	0	0	0	0.101	0.071	0.103	0	0	0.123	0.093	0	0	0.12	0.098	0.128
Pop023	0.063	0	0	0.083	0.05	0	0.035	0	0	0	0.063	0	0	0	0	0	0	0.018	0.091	0	0	0.028	0	0.014	0.029	0	0	0.036	-0.002	0.03	0	0	0.011	0.053	0.031	0	0.011	0.005	0.011	0.005	0	-0.011	0	0	0	0.064	0.081	0.062	0.045	0	0	0	0.161	0.096	0.027	0	0	0.137	0.07	0	0.146	0.129	0.025	0.133
Pop024	0.043	0	0	0.014	0.01	0	-0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.014	0	0.061	0	0	-0.042	-0.015	0.078	0	0	-0.011	-0.05	-0.02	0	0.029	0.011	-0.015	-0.008	0	0.074	0	0	0	0.118	-0.038	0.158	0.026	0	0	0	0.16	0.053	0	0	0	0.102	-0.033	0	0	0	0	0.292
Pop025	0.108	0	0	0.055	0.078	0	0.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106	0.029	0.061	0	0	0	0.079	0.045	0.178	0	0	0.03	0.097	0.04	0	0.064	0.06	0.076	0.019	0	0.151	0	0	0	0.139	0.085	0.1	0.005	0	0	0	0.152	0.106	0	0	0	0.176	0.175	0	0	0.136	0.417	0.3
Pop026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop028	0.089	0	0	0.004	0.021	0	-0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0.036	-0.042	0.079	0	0	0	0.002	0.119	0	0	0.032	-0.013	0.022	0	0.041	-0.004	0.025	0.045	0	0.005	0	0	0	0.093	0.056	0.011	0.039	0	0	0	0.128	0.069	0.096	0.1	0	0.121	0.075	0	0	0.273	0.111	0.269
Pop029	0.036	0	0	0.026	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	-0.002	-0.015	0.045	0	0	0.002	0	-0.048	0	0	0.078	0.011	0.048	0	0.044	0.005	0.036	0.087	0	0.036	0	0	0	0.029	0.031	0.016	0.029	0	0	0	0.101	0.015	-0.015	0	0	0.114	0.062	0	0	0	0.042	0.083
Pop030	0.141	0	0	0.044	0.151	0	0.282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0.03	0.078	0.178	0	0	0.119	-0.048	0	0	0	0.107	0.066	0.142	0	0.095	0	0.028	0.114	0	0.124	0	0	0	0.07	0.121	0.135	0.168	0	0	0	0.218	0.362	0.1	0.331	0	0.133	0	0	0	0.222	0	0
Pop031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop033	0.081	0	0	0.032	0.043	0	0.029	0	0	0	0.109	0	0	0	0	0	0	0	0	0.206	0	0.044	0.011	-0.011	0.03	0	0	0.032	0.078	0.107	0	0	0	0.007	-0.006	0	0.005	0.03	-0.001	-0.004	0.034	0.033	0	0	0	0.058	0.081	0.025	0.049	0	0	0	0.139	0.079	0.113	0.239	0	0.132	0.078	0	0	0.209	0.028	0.066
