	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064	Pop065	Pop066	Pop067	Pop068	Pop069	Pop070	Pop071	Pop072	Pop073	Pop074	Pop075	Pop076
Pop061	-0.006	0.023	0	0	0.025	-0.013	0.008	0.04	0.041	0.066	0.006	0	0.016	0.012	0.024	-0.016	0	0.054	0.05	0.045	-0.007	0	0.079	0.081	0.112	0	-0.042	0.035	0	0.07	0.052	0.048	0	0.057	0.091	0.009	0	0	0.037	0.026	0.057	0	0	0	-0.036	0	0.036	0.026	0.088	0.006	0.038	0	0.009	0.032	0.01	0.019	0.039	0.003	-0.032	0.078	0	0.042	0.022	0.044	-0.01	0.019	0.027	-0.043	-0.004	0	0	0.035	0	0	0	0
Pop062	-0.006	-0.001	0	0	-0.002	-0.017	-0.013	0.03	0.016	-0.018	0.01	-0.054	0.011	0.017	-0.013	0.008	0	0.172	-0.014	-0.028	0.019	0	0.002	0.043	-0.017	0	-0.032	0.028	0	-0.009	-0.013	-0.01	0	0.02	-0.007	-0.001	0	0	-0.006	-0.021	0.005	0	0	0	0.001	0	-0.019	-0.007	0.035	0.006	-0.011	0.025	0.027	0.034	-0.02	-0.007	-0.024	-0.017	-0.007	0.004	0.042	0	-0.026	-0.009	0.054	-0.016	0.006	-0.047	0.037	0	0	0.017	0	0	0	0
Pop063	-0.014	0.035	0	0.009	-0.014	-0.056	-0.012	0.019	-0.007	-0.023	0.015	0.034	-0.034	-0.012	-0.028	-0.003	0	0.037	0.009	0.038	-0.015	0	0.13	0.066	-0.046	0	0.047	0.006	0	-0.006	-0.007	-0.029	0	0.081	-0.051	0.019	0	0	0.01	0.044	0.054	0	0	0	0.063	0	0.035	-0.007	0.031	-0.016	0.024	-0.023	0.006	-0.037	0.031	-0.005	-0.019	-0.031	-0.004	0.01	0.022	-0.026	0	0.062	0	-0.013	0.013	0.082	0.037	0	0	-0.016	0	0	0	0
Pop064	0.022	0.06	0	0	0.032	0.044	-0.003	0.082	-0.075	0.031	0.002	0.055	-0.032	0.077	0.071	0.03	0	0.143	0.032	0.031	0.049	0	0.076	0.044	0.034	0	-0.008	0.042	0	0.067	0	0	0	0.017	-0.036	0	0	0	0.039	0.025	0.034	0	0	0	0.057	0	0.029	0.001	-0.002	0.005	0.132	0.016	0.044	0.01	0.04	-0.003	0.017	-0.012	0.058	0.056	0.044	-0.009	0.062	0	0.013	-0.012	0.024	0.053	0.037	0	0	0.054	0	0	0	0
Pop065	0	-0.007	0	0	-0.003	0	0.003	-0.027	0	0	-0.045	0	0.058	0	-0.035	0.023	0	0	-0.032	0.039	0	0	0.013	0.013	-0.048	0	0.053	0.049	0	0.045	0.038	0.013	0	-0.013	-0.033	0	0	0	-0.037	0.029	0	0	0	0	0.019	0	0	0	0.075	0.013	0.125	0.14	0.014	0	-0.043	0.185	0	0.013	0.013	-0.071	-0.01	0.054	0	0.013	0	0.024	0.066	0	-0.006	0	0	-0.041	0	0	0	0
Pop066	-0.015	0.018	0	-0.045	0.009	0.006	-0.02	0.047	0.01	0.027	-0.023	-0.049	-0.004	0.004	-0.015	0.007	0	0.07	0.011	-0.012	0.018	0	0.078	0.048	0.042	0	-0.028	0.004	0	0.003	0.085	-0.018	0	0.038	0.073	0.008	0	0	0.008	0.02	0.013	0	0	0	-0.004	0	0.012	-0.005	0.043	0.014	-0.028	-0.009	0.021	0.034	-0.003	-0.016	-0.016	-0.021	-0.018	-0.018	0.019	-0.016	-0.013	-0.012	0.024	0	0.016	0.099	0.062	0	0	-0.004	0	0	0	0
Pop067	0.02	0.02	0	0.067	0.011	0.013	-0.001	0.018	-0.003	0.018	0.023	0.019	0.055	-0.018	0.004	0.042	0	0.11	0.035	0.035	0.008	0	0.058	0.059	0.049	0	-0.015	0.017	0	0.027	0.046	0.009	0	0.018	0.02	0.02	0	0	0.017	0.033	0.012	0	0	0	0.073	0	0.012	0.025	0.052	-0.008	-0.016	0.033	0.033	-0.003	0.011	0.027	-0.004	0.018	0.035	0.058	0.027	0.006	0.013	0.024	0.066	0.016	0	0.015	0.059	0	0	0.037	0	0	0	0
Pop068	-0.071	-0.025	0	-0.05	-0.037	0.028	-0.003	0	-0.089	-0.026	0.009	0.141	-0.007	0.028	0	0	0	0.019	-0.026	0.078	-0.005	0	0.029	0.019	0.071	0	0.039	0.007	0	0.022	-0.095	0.068	0	0.028	-0.06	0.05	0	0	-0.011	-0.095	-0.03	0	0	0	-0.012	0	0.043	0	0	0.002	0.221	0	0.046	0	-0.06	-0.01	0	-0.055	0.075	-0.038	-0.043	-0.047	0.082	0.053	0	0.099	0.015	0	0.005	0	0	0.026	0	0	0	0
Pop069	-0.038	0.002	0	0	0.021	0.039	0.001	0.087	0.013	0.046	-0.011	0.076	0.036	-0.074	-0.029	0.003	0	-0.048	-0.028	0.015	-0.001	0	0.038	0.057	0.019	0	0.058	0.069	0	0.061	0.01	0.011	0	0.036	0.031	0.043	0	0	0.018	0.036	0.02	0	0	0	-0.005	0	0.025	0.018	0.075	0.036	0.058	0.045	0.026	-0.097	-0.054	0.013	0.184	-0.051	0.055	0.012	-0.004	0.037	0.037	0.037	-0.006	0.062	0.059	0.005	0	0	0	0.011	0	0	0	0
Pop070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop072	0.011	0.014	0	-0.136	0.003	-0.012	-0.01	-0.007	-0.031	0.017	0.039	0.033	-0.024	-0.052	0.004	0.01	0	0	0.011	0.017	-0.015	0	0.021	0.025	0.016	0	-0.03	-0.004	0	0.029	-0.007	-0.001	0	0.011	0.013	0.042	0	0	-0.011	-0.033	0.009	0	0	0	0.079	0	0.002	0.044	0.061	-0.013	0.042	0.056	-0.012	0.035	0	-0.002	0.029	0.074	0.051	-0.012	0.035	0.017	-0.016	0.054	-0.041	-0.004	0.037	0.026	0.011	0	0	0	0	0	0	0
Pop073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
