,sublibrary,total_sequences,barcodes_not_found,low_quality,cutsite_not_found,retained_reads,%_retained,notes
0,AMH_macro_7_8_12px_S92,90805402,1753306,10184,0,89041912,98.06,
0,AMH_macro_7_9_8px_S93,55420448,1320666,6245,0,54093537,97.61,
0,AMH_macro_8_1_8px_S99,55320184,1374084,6054,0,53940046,97.51,
0,AMH_macro_8_10_8px_S108,51823408,1431336,5799,0,50386273,97.23,
0,AMH_macro_8_11_8px_S109,67878754,1888990,7472,0,65982292,97.21,
0,AMH_macro_8_12_8px_S110,61373988,1356924,6827,0,60010237,97.78,
0,AMH_macro_8_13_8px_S111,69210120,1721284,7729,0,67481107,97.5,
0,AMH_macro_8_14_8px_S112,60265680,1469184,6699,0,58789797,97.55,
0,AMH_macro_8_2_8px_S100,58581948,1370812,6483,0,57204653,97.65,
0,AMH_macro_8_3_8px_S101,60860914,22578776,4632,0,38277506,62.89,Barcodes not found. Checked demux file and all are correct. 
0,AMH_macro_8_4_8px_S102,54353722,1243252,6222,0,53104248,97.7,
0,AMH_macro_8_5_12px_S103,125007740,2243232,14254,0,122750254,98.19,
0,AMH_macro_8_6_12px_S104,80893592,1758566,9129,0,79125897,97.81,
0,AMH_macro_8_7_12px_S105,114427222,2023466,13132,0,112390624,98.22,
0,AMH_macro_8_8_12px_S106,78131976,1635046,8725,0,76488205,97.9,
0,AMH_macro_8_9_8px_S107,46490192,1274976,5043,0,45210173,97.25,
0,AMH_macro_9_1_8px_S113,50466906,1212110,5712,0,49249084,97.59,
0,AMH_macro_9_10_12px_S122,64963878,1446274,7215,0,63510389,97.76,
0,AMH_macro_9_11_12px_S123,75919298,1695866,8520,0,74214912,97.76,
0,AMH_macro_9_12_12px_S124,72144646,1410414,8008,0,70726224,98.03,
0,AMH_macro_9_13_8px_S125,77024880,1270334,8809,0,75745737,98.34,
0,AMH_macro_9_14_8px_S126,61905404,1222216,6936,0,60676252,98.01,
0,AMH_macro_9_2_8px_S114,57648686,1326688,6449,0,56315549,97.69,
0,AMH_macro_9_3_8px_S115,55389738,1362590,6245,0,54020903,97.53,
0,AMH_macro_9_4_8px_S116,51606748,1274896,5760,0,50326092,97.52,
0,AMH_macro_9_5_8px_S117,55945986,1194124,6293,0,54745569,97.85,
0,AMH_macro_9_6_8px_S118,52505520,1292306,5931,0,51207283,97.53,
0,AMH_macro_9_7_8px_S119,54249088,1376514,6030,0,52866544,97.45,
0,AMH_macro_9_8_8px_S120,45793738,1336090,4997,0,44452651,97.07,
0,AMH_macro_9_9_12px_S121,71471990,1328866,8125,0,70134999,98.13,
