"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"EC.BA.LL-4.M.4",50,"EC.BA.LL-4.M.4","Baltimore",0.404050133433586,173488,-3.85630689984622,3.92124857291461,2.86831219182619,-0.349209560499605,-1.68214393438869,-1.41920535607439,-3.88164312274224
"EC.BA.WB.U.1",51,"EC.BA.WB.U.1","Baltimore",0.479124408794603,240723,-4.99235528185954,3.98765270258719,5.75761871488933,-1.24999927605,-1.48947708981739,-1.19649647307365,-6.39321608869941
"EC.BA.WB.U.3",52,"EC.BA.WB.U.3","Baltimore",0.447035948318499,159754,-3.87926733816356,1.62305669775969,5.85534565810057,-1.26448885378113,5.71392024800839,-5.35959890251837,1.35421971991097
"EC.BA.PIK.U.2",53,"EC.BA.PIK.U.2","Baltimore",0.448416311659916,62897,-4.1582365482528,3.64105304165874,-4.12739749499345,1.72247167584006,0.903056241619078,-0.0381703441789495,3.01129897750481
"EC.BA.PIK.U.3",54,"EC.BA.PIK.U.3","Baltimore",0.543014599619479,207672,-4.54439662883237,4.96447553609983,5.10335758031423,-0.999794485086233,-0.916711856406748,-1.35737856144834,-4.05558982607073
"EC.BA.PIK.U.5",55,"EC.BA.PIK.U.5","Baltimore",0.398819413592344,199506,-3.77861415090251,3.54946312276614,6.38290473676483,-1.97341817052991,-0.711284430514334,0.297331181740911,-0.119422473623407
"EC.BA.LH-3.M.1",56,"EC.BA.LH-3.M.1","Baltimore",0.360904793730234,78653,-4.35233744644971,4.88904877782364,-2.38551285065101,0.945798513539088,-0.255557478090517,2.02666961002789,-1.52353609965811
"EC.BA.LH-3.M.5",57,"EC.BA.LH-3.M.5","Baltimore",0.383131453578499,103583,-4.14414657010209,3.79464689405119,-4.9558705003905,2.58344235878499,-1.65940580986793,0.956651543374165,-0.403361393548821
"EC.BA.PSP.M.1",58,"EC.BA.PSP.M.1","Baltimore",0.41640674625205,41784,-4.1309575840648,2.98370056056253,-3.18524809197318,0.971402154708529,1.85947223690384,1.11382066100047,3.21506297709444
"EC.BA.PSP.M.4",59,"EC.BA.PSP.M.4","Baltimore",0.462095443614549,153806,-4.57569464034631,5.61823691280242,-4.31526996415266,1.101462054915,-1.35350805504597,1.49172043091625,-0.237536486001215
"EC.BA.PSP.M.5",60,"EC.BA.PSP.M.5","Baltimore",0.501349090540306,171125,-4.0259847607168,4.02970797778593,4.36767820385329,-3.26493313923445,2.02261415489696,-2.94527042725749,-2.12319664408801
"EC.BA.GA.U.1",61,"EC.BA.GA.U.1","Baltimore",0.440590466324378,188272,-3.91512731998051,3.77863937070336,5.44796568196769,0.239997975808405,-2.11061884897031,-0.894994910066268,-2.08803942471382
"EC.BA.GA.U.2",62,"EC.BA.GA.U.2","Baltimore",0.532609491644092,299634,-5.07240032670441,6.40880810551845,-3.00058559595995,2.15531769625988,-1.11994088761656,1.66234735194596,-1.1290472828986
"EC.BA.GA.U.3",63,"EC.BA.GA.U.3","Baltimore",0.486531177724702,74128,-4.19603400101367,4.15879719183954,1.46519565646569,-1.73692373243917,1.82652478937358,-2.02571728775611,-1.08982862867709
"EC.BA.GA.U.4",64,"EC.BA.GA.U.4","Baltimore",0.305493023092192,42556,-3.24142824173341,1.86466306390605,-0.876437660661291,-0.9728316529443,3.11908299638015,-2.08641518885159,-0.630778882732063
"EC.BA.GA.U.5",65,"EC.BA.GA.U.5","Baltimore",0.411887928388965,120464,-4.3328813461828,3.06479065943542,7.45692479369175,-2.42778106281055,0.760314074936167,-1.23645647953991,-4.18265684030955
"EC.BA.LL-3.M.3",66,"EC.BA.LL-3.M.3","Baltimore",0.493711145838514,280833,-5.10912206469534,5.84798326840467,0.654285350769689,-0.218537872136287,-2.59282339558387,1.0438659352915,-5.27103979987099
"EC.BA.LL-3.M.5",67,"EC.BA.LL-3.M.5","Baltimore",0.343117559873599,72459,-3.6596840033442,3.75269105507278,2.07697378554489,-0.390191694200393,0.603937836960163,-0.222666771650087,-2.71259436427472
"EC.BA.ML.U.1",68,"EC.BA.ML.U.1","Baltimore",0.348884871858193,96059,-3.97902454476446,4.07550481822244,-1.85611426730407,1.59819911496825,-1.11205618813038,3.91315513039741,-0.362502461392107
"EC.BA.ML.U.3",69,"EC.BA.ML.U.3","Baltimore",0.355036506928293,70012,-3.96595698272741,4.68230973950035,-1.52374698232064,0.955948439642706,-0.649536182771529,2.01170910726727,-1.92950968110852
"EC.LA.SGB.U.1",70,"EC.LA.SGB.U.1","Los Angeles",0.445521261139096,68376,-4.14785816777733,-1.91124929419102,2.42726202728507,-0.686366373144857,2.82092995717748,0.957686213213299,0.917829225044666
"EC.LA.SGB.U.2",71,"EC.LA.SGB.U.2","Los Angeles",0.423316491658483,223584,-4.09393557903062,-1.85781246083342,-2.25248995188762,2.97324017992274,4.77256552763069,-0.225847198809197,1.77015917991681
"EC.LA.SGB.U.3",72,"EC.LA.SGB.U.3","Los Angeles",0.416311542516705,144840,-4.20191496941004,-4.68591120951361,3.00227902259858,0.737145922888636,7.38196017452856,4.20943946714964,-0.955366747022872
"EC.LA.SGB.U.4",73,"EC.LA.SGB.U.4","Los Angeles",0.388276448400535,158121,-3.20616095738496,-4.42061013315387,-1.89619304384163,-0.871939674033564,-2.58829752468763,-2.07096457462855,-0.53831636922115
"EC.LA.SGB.U.5",74,"EC.LA.SGB.U.5","Los Angeles",0.470354967018411,213586,-4.41670520417536,-5.06693809448367,-1.34085794402412,1.07774363638651,-0.597866174994961,-4.37744493103065,-4.33248361411317
"EC.LA.DUR.U.1",75,"EC.LA.DUR.U.1","Los Angeles",0.377933457462676,107679,-4.20641929370992,-2.30409587567111,-3.21891409987041,2.95630750628555,2.72049469083056,0.983201943921057,0.0866172597479305
"EC.LA.DUR.U.2",76,"EC.LA.DUR.U.2","Los Angeles",0.397013236866655,187593,-4.15859034835789,-4.81387415601923,1.4272778270091,2.41261315322989,4.76564040881813,6.88600848630414,-0.534469602434914
"EC.LA.DUR.U.4",77,"EC.LA.DUR.U.4","Los Angeles",0.461053759517828,174287,-4.30456105880666,-5.15080610390981,0.321820286860903,2.21564294600601,1.88817010928159,7.54377926262727,-1.55696050674598
"EC.LA.HOW.U.1",78,"EC.LA.HOW.U.1","Los Angeles",0.454935727469846,178626,-3.59049590280232,-5.2155554261971,5.15094999853812,-2.06913154823422,-4.64158384808426,1.09422758281709,-1.41562251723943
"EC.LA.HOW.U.2",79,"EC.LA.HOW.U.2","Los Angeles",0.510373249471201,379294,-4.23946973029911,-5.68833780632603,-5.81490632401505,0.848197307244626,-6.722156164268,-3.68196577778652,-1.18373955290181
"EC.LA.HOW.U.3",80,"EC.LA.HOW.U.3","Los Angeles",0.500598551861798,321013,-3.37526901079881,-6.26580314765278,2.54810786700964,-3.26095563817971,-8.03064017769131,2.43290428547875,4.10737861387994
"EC.LA.HOW.U.4",81,"EC.LA.HOW.U.4","Los Angeles",0.368760984649977,81942,-3.38830819707991,-4.04257234968669,-2.90478829594286,0.00219015217361282,1.53942596129792,-3.13891161600465,-0.510290544649466
"EC.LA.SAN.U.2",82,"EC.LA.SAN.U.2","Los Angeles",0.437427647467563,139962,-4.11496460600835,-5.10749324371274,-1.96378502265131,-0.0445377074615533,-2.65994434435482,-0.112407983205969,-1.12535011211941
"EC.LA.SAN.U.4",83,"EC.LA.SAN.U.4","Los Angeles",0.374527422224994,101589,-3.89010188493671,-3.97790506395466,2.42294161214954,-0.910331151023489,6.1328613895242,0.674195154995716,0.440558671679778
"EC.LA.SAN.U.5",84,"EC.LA.SAN.U.5","Los Angeles",0.411557509318319,105205,-4.05063380941827,-3.04637661772081,-5.32786614359885,2.35875264415077,1.0481100894768,-1.49175351941747,-1.23955278191693
"EC.LA.VER.U.1",85,"EC.LA.VER.U.1","Los Angeles",0.534195645994084,421884,-4.75130166342692,-6.97650244608117,3.16211338082049,2.69568239121577,4.18547331371136,11.3139205760632,-2.88510792595599
"EC.LA.VER.U.2",86,"EC.LA.VER.U.2","Los Angeles",0.293435259570551,95347,-3.34281931730012,-2.04046248549844,-1.2871859921364,1.2181821119837,3.90616359204936,-0.547257782083932,3.54511118613406
"EC.LA.VER.U.3",87,"EC.LA.VER.U.3","Los Angeles",0.404914699192947,172978,-3.9052717588358,-5.41010125532063,3.64290167938322,1.38466315259211,1.64850170540463,7.56699589571436,-0.426519484123969
"EC.LA.VER.U.4",88,"EC.LA.VER.U.4","Los Angeles",0.527640155270235,314233,-5.090204577392,-5.55847313697144,-5.45219105654369,3.10752374683334,2.24960666364138,-0.668696235856449,-1.73224836275938
"EC.LA.VB2.U.1",89,"EC.LA.VB2.U.1","Los Angeles",0.337378251487602,44990,-3.51819355344074,-2.17819508648744,-3.29961203966537,0.43835859170514,2.67592130363693,-1.48632915370708,0.173442696477195
"EC.LA.VB2.U.4",90,"EC.LA.VB2.U.4","Los Angeles",0.504385552341214,402339,-4.39057246708588,-7.22049477708672,2.7507482554887,-2.33788701497345,-9.0602157785978,0.222689892586149,-0.267674824512649
"EC.LA.AC2.U.1",91,"EC.LA.AC2.U.1","Los Angeles",0.420855260947367,187127,-3.8097020200475,-5.52808925885212,5.22035704328125,-0.859433427279161,-5.27747268484806,0.702103006461288,0.852884023237692
"EC.LA.AC2.U.2",92,"EC.LA.AC2.U.2","Los Angeles",0.498867220818695,281156,-3.88247569651549,-6.37392986594945,-2.45235254651552,-0.277836699718039,-5.89153912571737,-2.99662243789383,0.0828894958170385
"EC.LA.AC2.U.4",93,"EC.LA.AC2.U.4","Los Angeles",0.376549121449845,99188,-3.4015865553347,-3.93990328454926,-3.00740359372308,-0.849798024843313,2.59526660840443,-4.47747425344695,1.34395007864756
