"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"CD.LA.LUB.M.2",78,"CD.LA.LUB.M.2","Los Angeles",0.336438771649875,72085,-2.90113094880831,-4.85379800312376,8.36892010895412,0.897813453039608,-0.000665528766369982,0.912352452476873,-2.92967972048427,2.50591266342752,0.996801249953827,2.61611792966585
"CD.LA.LUB.M.3",79,"CD.LA.LUB.M.3","Los Angeles",0.464522866636053,1246755,-4.28713677101898,-6.86682039614294,-2.75663952345313,0.275323424029894,-0.758395198556765,-1.40889291106845,-3.71806303717599,2.16643252941592,-2.5525833000617,3.38356934949435
"CD.LA.LUB.M.5",80,"CD.LA.LUB.M.5","Los Angeles",0.415540460311686,533015,-4.07385278398566,-7.29118703090009,-5.68858339420252,-2.84485516983662,-1.06748023311633,-0.530351168047082,2.53853771818112,1.2512678933866,-1.50946972640063,-2.95807611322043
"CD.LA.MR2.M.1",81,"CD.LA.MR2.M.1","Los Angeles",0.39182675115624,429208,1.90112354376905,-3.97517975622437,0.323208456113287,3.42920971255135,-7.89033200937464,1.84891978797254,4.82402546011013,0.0141444145418819,-1.06444148873077,2.64690442122193
"CD.LA.MR2.M.2",82,"CD.LA.MR2.M.2","Los Angeles",0.436552323736747,667882,2.92771756602755,-4.34513191509207,-1.0490757002595,3.39479521840233,-9.82351076399428,2.24144015711163,7.07264902070936,-0.272742076372658,-0.343629198993023,1.44381638885162
"CD.LA.MR2.M.3",83,"CD.LA.MR2.M.3","Los Angeles",0.284907707838348,86115,1.86974553455563,-4.94638626186836,0.366408637621983,2.60115660145421,-9.2032373729524,3.33658051219402,7.59292619912892,0.0116313673417875,0.0992757836924515,1.48327944106442
"CD.LA.MR2.M.4",84,"CD.LA.MR2.M.4","Los Angeles",0.379431727059998,397003,1.69029735380101,-4.80701495512574,-2.06665670711246,2.97336575600704,-10.0630001430041,2.69269387044029,8.82587447376159,-0.618698161863891,-0.366266001119111,1.01909911403808
"CD.LA.MR2.M.5",85,"CD.LA.MR2.M.5","Los Angeles",0.431481467393655,453846,1.46292288368177,-4.4635668237702,-0.64598780031394,3.50731022565971,-9.34490634060525,2.2354400868202,5.46026605530697,-0.117369516631238,-0.877333799950503,2.68227440454696
"CD.LA.NWH.M.1",86,"CD.LA.NWH.M.1","Los Angeles",0.309060700125035,194834,3.00758790081318,-4.01985843349222,0.274617009990831,3.14633013525121,-8.15954481194137,2.58863778006677,4.63044688627667,-0.209610415093904,-0.0306400135070845,-2.00630909672961
"CD.LA.NWH.M.2",87,"CD.LA.NWH.M.2","Los Angeles",0.437707849935238,598368,3.2249480020789,-3.69889627815468,-1.60272834128058,1.76091124886139,-3.52017026322347,-1.60750932788552,1.75921234952153,1.28394316564946,1.28146641127821,-0.651074230775244
